Index: 23, UserId: AAH03JAC7AAAcQ2APV, Date: 20120701, Time: 10:23:52, CallDuration: 92, Latitude: 23.693100, Longitude: 90.439201
Index: 90, UserId: AAH03JAC5AAAdAgAbK, Date: 20120701, Time: 10:23:22, CallDuration: 61, Latitude: 23.727501, Longitude: 90.416100
Index: 455, UserId: AAH03JAC6AAAc0xAJz, Date: 20120701, Time: 10:23:38, CallDuration: 21, Latitude: 23.782200, Longitude: 90.426903
Index: 611, UserId: AAH03JACgAAEUL6Aoo, Date: 20120701, Time: 10:23:44, CallDuration: 27, Latitude: 23.795300, Longitude: 90.393898
Index: 718, UserId: AAH03JAC6AAAczXAIs, Date: 20120701, Time: 10:23:20, CallDuration: 2, Latitude: 23.802200, Longitude: 90.361099
Index: 766, UserId: AAH03JABeAANU2IAov, Date: 20120701, Time: 10:23:39, CallDuration: 660, Latitude: 23.718300, Longitude: 90.430603
Index: 795, UserId: AAH03JACVAAA/vPAHd, Date: 20120701, Time: 10:23:42, CallDuration: 34, Latitude: 23.952200, Longitude: 90.287498
Index: 807, UserId: AAH03JAC4AAAcxEAgH, Date: 20120701, Time: 10:23:39, CallDuration: 25, Latitude: 23.784201, Longitude: 90.431099
Index: 868, UserId: AAH03JAC8AAAbYGAcW, Date: 20120701, Time: 10:23:31, CallDuration: 20, Latitude: 23.716900, Longitude: 90.419701
Index: 1073, UserId: AAH03JAC6AAAcytAOG, Date: 20120701, Time: 10:23:57, CallDuration: 41, Latitude: 23.689699, Longitude: 90.438904
Index: 1504, UserId: AAH03JAC3AAAdDCAjd, Date: 20120701, Time: 10:23:21, CallDuration: 36, Latitude: 23.731899, Longitude: 90.415802
Index: 2228, UserId: AAH03JACdAAEDz2ACl, Date: 20120701, Time: 10:23:39, CallDuration: 25, Latitude: 23.712799, Longitude: 90.426903
Index: 2381, UserId: AAH03JABkAAHvEcAj9, Date: 20120701, Time: 10:23:52, CallDuration: 74, Latitude: 23.798611, Longitude: 90.380280
Index: 2488, UserId: AAH03JAC7AAAcPeAaE, Date: 20120701, Time: 10:23:27, CallDuration: 46, Latitude: 23.771900, Longitude: 90.397499
Index: 2922, UserId: AAH03JABiAAJKrMASR, Date: 20120701, Time: 10:23:33, CallDuration: 339, Latitude: 23.707199, Longitude: 90.410301
Index: 3099, UserId: AAH03JAC6AAAcxaAfw, Date: 20120701, Time: 10:23:30, CallDuration: 10, Latitude: 23.730801, Longitude: 90.410301
Index: 3110, UserId: AAH03JAC3AAAdC0AK4, Date: 20120701, Time: 10:23:43, CallDuration: 28, Latitude: 23.741100, Longitude: 90.391701
Index: 3932, UserId: AAH03JAC3AAAdEDAJD, Date: 20120701, Time: 10:23:35, CallDuration: 21, Latitude: 23.858900, Longitude: 90.408302
Index: 5844, UserId: AAH03JAC3AAAdC4AfJ, Date: 20120701, Time: 10:23:20, CallDuration: 414, Latitude: 23.811899, Longitude: 90.427200
Index: 9745, UserId: AAH03JABjAAIR7VAne, Date: 20120701, Time: 10:23:57, CallDuration: 38, Latitude: 23.772499, Longitude: 90.380302
Index: 10346, UserId: AAH03JACKAAAgfCAiX, Date: 20120701, Time: 10:23:44, CallDuration: 135, Latitude: 23.738600, Longitude: 90.407501
Index: 10348, UserId: AAH03JAC8AAAbYmAJg, Date: 20120701, Time: 10:23:36, CallDuration: 89, Latitude: 23.744400, Longitude: 90.416397
Index: 10446, UserId: AAH03JAC6AAAcy6AeT, Date: 20120701, Time: 10:23:51, CallDuration: 36, Latitude: 23.784201, Longitude: 90.385002
Index: 10944, UserId: AAH03JAC+AAAcWSAp0, Date: 20120701, Time: 10:23:36, CallDuration: 11, Latitude: 23.725300, Longitude: 90.411102
Index: 12275, UserId: AAH03JAC9AAAbWfAEO, Date: 20120701, Time: 10:23:34, CallDuration: 181, Latitude: 23.784201, Longitude: 90.328598
Index: 13102, UserId: AAH03JAC4AAAcw8AQo, Date: 20120701, Time: 10:23:20, CallDuration: 81, Latitude: 23.729401, Longitude: 90.414200
Index: 13738, UserId: AAH03JACMAAAbfWAMI, Date: 20120701, Time: 10:23:42, CallDuration: 35, Latitude: 23.784201, Longitude: 90.431099
Index: 14318, UserId: AAH03JAC4AAAcvIABO, Date: 20120701, Time: 10:23:43, CallDuration: 16, Latitude: 23.729401, Longitude: 90.419701
Index: 14381, UserId: AAH03JAC5AAAdBfAcP, Date: 20120701, Time: 10:23:35, CallDuration: 33, Latitude: 23.783300, Longitude: 90.338600
Index: 15563, UserId: AAH03JAC3AAAdA8AhJ, Date: 20120701, Time: 10:23:19, CallDuration: 7, Latitude: 23.618099, Longitude: 90.119400
Index: 16643, UserId: AAH03JAC5AAAdBjAEl, Date: 20120701, Time: 10:23:46, CallDuration: 45, Latitude: 23.747200, Longitude: 90.379402
Index: 17850, UserId: AAH03JAC4AAAcvnAmW, Date: 20120701, Time: 10:23:28, CallDuration: 37, Latitude: 23.789400, Longitude: 90.420303
Index: 17851, UserId: AAH03JAC+AAAcVyAck, Date: 20120701, Time: 10:23:56, CallDuration: 62, Latitude: 23.711700, Longitude: 90.409698
Index: 18858, UserId: AAH03JAC6AAAczBAbL, Date: 20120701, Time: 10:23:58, CallDuration: 103, Latitude: 23.746099, Longitude: 90.429398
Index: 20736, UserId: AAH03JAC7AAAcQ/APK, Date: 20120701, Time: 10:23:36, CallDuration: 28, Latitude: 23.746599, Longitude: 90.391197
Index: 20878, UserId: AAH03JABjAAIR7lAjz, Date: 20120701, Time: 10:23:47, CallDuration: 18, Latitude: 23.883101, Longitude: 90.331703
Index: 21251, UserId: AAH03JAC2AAAeKaASC, Date: 20120701, Time: 10:23:46, CallDuration: 19, Latitude: 23.702200, Longitude: 90.420303
Index: 21321, UserId: AAH03JAC3AAAdDhAbx, Date: 20120701, Time: 10:23:56, CallDuration: 48, Latitude: 23.783300, Longitude: 90.338600
Index: 22229, UserId: AAH03JAC5AAAdDOAEM, Date: 20120701, Time: 10:23:29, CallDuration: 131, Latitude: 23.737499, Longitude: 90.371399
Index: 22414, UserId: AAH03JABeAANU2bAQc, Date: 20120701, Time: 10:23:33, CallDuration: 15, Latitude: 23.773100, Longitude: 90.401100
Index: 22578, UserId: AAH03JAC8AAAbZUAgg, Date: 20120701, Time: 10:23:57, CallDuration: 33, Latitude: 23.753599, Longitude: 90.381401
